日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
44979 | B09QM9JJN8,2023/2/22,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,1,8
44979 | B09QMC4XFX,2023/2/22,FT22011103,21-23福特bronco越野版tpe吸塑后备箱垫（4门）--米粒纹KJ,B09QMC4XFX,2,12
44979 | B09VL31QV5,2023/2/22,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,4,28
44979 | B09WR3FM5S,2023/2/22,FT22031810,21-23福特bronco越野版前门拉手储物盒（2/4门）--abs粘贴款1对装KJ,B09WR3FM5S,2,2
44979 | B09X459JVM,2023/2/22,FT22040301,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--硅胶升级款（带孔）KJ,B09X459JVM,1,5
44979 | B09YQ2WX1M,2023/2/22,FT22042304,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（连体）1个装KJ,B09YQ2WX1M,2,3
44979 | B09Z2DN5FB,2023/2/22,FT22042601,21-23福特bronco越野版手套箱隔板（2/4门）--4件套KJ,B09Z2DN5FB,2,25
44979 | B0B71JG7HZ,2023/2/22,FT22052110,21-23福特bronco越野版车门拓展储物盒（2/4门）--tpe款前门1对装（KJ包销）,B0B71JG7HZ,1,1
44979 | B0B429KFYQ,2023/2/22,FT22060601,21-23福特bronco越野版挡泥板（2/4门）--免打孔款4片装（山峰图案）KJ,B0B429KFYQ,2,8
44979 | B0B76QR8T3,2023/2/22,FT22061105,21-23福特bronco越野版车门拓展储物盒（2/4门）--abs网格款前门2片装KJ,B0B76QR8T3,1,
44979 | B0B6R486S1,2023/2/22,FT22062804,21-23福特bronco越野版中网小黄灯（2/4门）--高配款3个装（黄色款）KJ,B0B6R486S1,1,5
44979 | B0B8HF6RD8,2023/2/22,FT22072601,21-23福特bronco越野版中控侧挂盒 (2/4门自动挡）--abs（分体）2个装KJ,B0B8HF6RD8,2,7
44979 | B0BJTZ1Z27,2023/2/22,FT22092811,21-23福特bronco越野版延伸轮眉（2/4门铁杠标准轮眉）--1对装KJ,B0BJTZ1Z27,1,
